Game Title,Discount,Original Price,Discounted Price
Far Cry® Primal,-75%,$29.99,$7.49
Frostpunk,-80%,$29.99,$5.99
Sniper Elite Complete Pack,-87%,$132.96,$17.54
Alien: Isolation,-80%,$39.99,$7.99
Grim Dawn Definitive Edition,-53%,$64.96,$30.78
Heavenly Bodies - Cleanup DLC,-10%,$7.99,$7.19
Assassin’s Creed® Brotherhood,-75%,$19.99,$4.99
Dead by Daylight - Survivor Expansion Pack,-40%,$29.99,$17.99
Kerbal Space Program,-75%,$39.99,$9.99
Wobbly Life,-20%,$14.99,$11.99
Little Nightmares,-75%,$19.99,$4.99
Barony,-35%,$14.99,$9.74
Delivery INC,-15%,$14.99,$12.74
Call of Duty®: WWII,-67%,$59.99,$19.79
Heavenly Bodies - Cleanup DLC Edition,-45%,$27.98,$15.46
The Sims™ 4 Cats & Dogs,-50%,$39.99,$19.99
Amnesia: The Bunker,-15%,$24.99,$21.24
The Quarry,-67%,$59.99,$19.79
Assassin’s Creed® Rogue,-70%,$19.99,$5.99
Watch_Dogs™,-85%,$29.99,$4.49
,,,
Aliens: Fireteam Elite,-60%,$29.99,$11.99
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,-80%,$29.99,$5.99
The Sims™ 4 Cottage Living Expansion Pack,-50%,$39.99,$19.99
Deceive Inc.,-25%,$19.99,$14.99
Blasphemous 2,-10%,$29.99,$26.99
The Sims™ 4 Growing Together Expansion Pack,-25%,$39.99,$29.99
Outlast,-85%,$19.99,$2.99
Crimson Tactics: The Rise of The White Banner,-20%,$29.99,$23.99
Against the Storm,-35%,$29.99,$19.49
HOT WHEELS UNLEASHED™,-80%,$49.99,$9.99
Complete Thief Bundle,-70%,$26.98,$8.04
The Sims™ 4 Decorator's Dream Bundle,-58%,$69.97,$29.08
Borderlands Game of the Year,-67%,$29.99,$9.89
Monster Hunter World: Iceborne Master Edition Digital Deluxe,-50%,$69.97,$34.97
Streets of Rogue,-80%,$19.99,$3.99
Assassin's Creed™: Director's Cut Edition,-75%,$19.99,$4.99
Dead by Daylight - Resident Evil: PROJECT W Chapter,-30%,$11.99,$8.39
A Plague Tale: Requiem,-50%,$49.99,$24.99
Battlefield™ 1,-75%,$39.99,$9.99
The Sims™ 4 Seasons,-50%,$39.99,$19.99
Void Bastards,-70%,$29.99,$8.99
Aragami 2,-60%,$34.99,$13.99
Train Sim World® 3,-70%,$49.99,$14.99
Banners of Ruin,-70%,$19.99,$5.99
Call of Duty: World at War,-25%,$19.99,$14.99
Dragon's Dogma: Dark Arisen,-84%,$29.99,$4.79
Intruder,-50%,$19.99,$9.99
Titanfall® 2,-75%,$29.99,$7.49
STAR WARS™ Battlefront™ II,-75%,$39.99,$9.99
EA SPORTS™ PGA TOUR™,-50%,$69.99,$34.99
Komorebi,-10%,$19.99,$17.99
GoreBox,-40%,$4.99,$2.99
Little Nightmares I & II,-70%,$63.93,$19.43
Assassin's Creed® Revelations,-70%,$19.99,$5.99
Resident Evil 6,-75%,$29.99,$7.49
Friends vs Friends,-33%,$9.99,$6.69
Deus Ex: Mankind Divided,-85%,$29.99,$4.49
Far Cry 3,-75%,$19.99,$4.99
Sniper Elite 3,-90%,$29.99,$2.99
