| Game Title                                                                     | Discount   | Original Price   | Discounted Price   |
| Pathfinder: Kingmaker - Imperial Edition Bundle                                | -78%       | $46.95           | $10.28             |
| Assassin's Creed™: Director's Cut Edition                                      | -75%       | $19.99           | $4.99              |
| Battlefield 4™                                                                 | -75%       | $39.99           | $9.99              |
| Assassin's Creed® III Remastered                                               | -75%       | $39.99           | $9.99              |
| Tom Clancy's Splinter Cell Chaos Theory®                                       | -75%       | $9.99            | $2.49              |
| Resident Evil 6                                                                | -75%       | $29.99           | $7.49              |
| Battlefield™ 1                                                                 | -75%       | $39.99           | $9.99              |
| Resident Evil 2                                                                | -75%       | $39.99           | $9.99              |
| Far Cry 3                                                                      | -75%       | $19.99           | $4.99              |
| Tom Clancy’s Splinter Cell Blacklist                                           | -75%       | $29.99           | $7.49              |
| Batman™: Arkham Origins                                                        | -75%       | $19.99           | $4.99              |
| Battlefield™ V                                                                 | -75%       | $49.99           | $12.49             |
| Cook, Serve, Delicious! 3?!                                                    | -75%       | $19.99           | $4.99              |
| Tom Clancy's Splinter Cell Conviction™ Deluxe Edition                          | -75%       | $19.99           | $4.99              |
| Assassin's Creed 2                                                             | -75%       | $19.99           | $4.99              |
| Dragon Age™ Inquisition                                                        | -75%       | $39.99           | $9.99              |
| Kerbal Space Program                                                           | -75%       | $39.99           | $9.99              |
| Sniper Elite V2 Remastered                                                     | -75%       | $34.99           | $8.74              |
| Resident Evil 5                                                                | -75%       | $19.99           | $4.99              |
| Assassin’s Creed® Brotherhood                                                  | -75%       | $19.99           | $4.99              |
| Weird West: Definitive Edition                                                 | -75%       | $39.99           | $9.99              |
| Far Cry® Primal                                                                | -75%       | $29.99           | $7.49              |
| Little Nightmares                                                              | -75%       | $19.99           | $4.99              |
| Far Cry 3 - Blood Dragon                                                       | -75%       | $14.99           | $3.74              |
| 112 Operator                                                                   | -75%       | $24.99           | $6.24              |
| Borderlands 2                                                                  | -75%       | $19.99           | $4.99              |
| Resident Evil 0                                                                | -75%       | $19.99           | $4.99              |
| BioShock Infinite                                                              | -75%       | $29.99           | $7.49              |
| Grim Dawn                                                                      | -75%       | $24.99           | $6.24              |
| Assassin's Creed® Unity                                                        | -75%       | $29.99           | $7.49              |
| Mass Effect™ Legendary Edition                                                 | -75%       | $59.99           | $14.99             |
| Black Mesa                                                                     | -75%       | $19.99           | $4.99              |
| RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition                                | -75%       | $49.99           | $12.49             |
| Budget Cuts                                                                    | -75%       | $29.99           | $7.49              |
| Tom Clancy's Splinter Cell®                                                    | -75%       | $9.99            | $2.49              |
