| Game Title                                                                           | Discount   | Original Price   | Discounted Price   |
| LEGO® Jurassic World                                                                 | -75%       | $19.99           | $4.99              |
| LEGO® Batman™ 2: DC Super Heroes                                                     | -75%       | $19.99           | $4.99              |
| LEGO® Star Wars™ - The Complete Saga                                                 | -75%       | $19.99           | $4.99              |
| Trine 4: The Nightmare Prince                                                        | -75%       | $29.99           | $7.49              |
| LEGO® Batman™: The Videogame                                                         | -75%       | $19.99           | $4.99              |
| LEGO® Marvel Super Heroes 2                                                          | -75%       | $19.99           | $4.99              |
| LEGO® Marvel Super Heroes 2 - Marvel's Ant-Man and the Wasp Character and Level Pack | -75%       | $2.99            | $0.74              |
| Outward Definitive Edition                                                           | -75%       | $39.99           | $9.99              |
| Killing Floor 2                                                                      | -75%       | $29.99           | $7.49              |
| LEGO® The Lord of the Rings™                                                         | -75%       | $19.99           | $4.99              |
| Project: Gorgon                                                                      | -75%       | $39.99           | $9.99              |
| LEGO® Batman™ 3: Beyond Gotham                                                       | -75%       | $19.99           | $4.99              |
| Farmer's Dynasty                                                                     | -75%       | $29.99           | $7.49              |
| Do Not Feed the Monkeys                                                              | -75%       | $11.99           | $2.99              |
| Nine Parchments                                                                      | -75%       | $19.99           | $4.99              |
| Call of Cthulhu®                                                                     | -75%       | $19.99           | $4.99              |
| LEGO® Marvel™ Super Heroes                                                           | -75%       | $19.99           | $4.99              |
| LEGO® MARVEL's Avengers                                                              | -75%       | $19.99           | $4.99              |
| LEGO® Marvel Super Heroes 2 - Marvel's Black Panther Movie Character and Level Pack  | -75%       | $2.99            | $0.74              |
| LEGO® Harry Potter: Years 1-4                                                        | -75%       | $19.99           | $4.99              |
| LEGO® Marvel Super Heroes 2 - Cloak and Dagger                                       | -75%       | $2.99            | $0.74              |
| LEGO® The Hobbit™                                                                    | -75%       | $19.99           | $4.99              |
| LEGO® Indiana Jones™ 2: The Adventure Continues                                      | -75%       | $19.99           | $4.99              |
| Kerbal Space Program                                                                 | -75%       | $39.99           | $9.99              |
| LEGO® Marvel Super Heroes 2 - Guardians of the Galaxy Vol. 2                         | -75%       | $2.99            | $0.74              |
| LEGO® Harry Potter: Years 5-7                                                        | -75%       | $19.99           | $4.99              |
| For The King                                                                         | -75%       | $19.99           | $4.99              |
| LEGO® Pirates of the Caribbean: The Video Game                                       | -75%       | $19.99           | $4.99              |
| LEGO® Indiana Jones™: The Original Adventures                                        | -75%       | $19.99           | $4.99              |
| Shooter Dual Pack - Necromunda: Hired Gun + Space Hulk: Deathwing Enhanced Edition   | -74%       | $69.98           | $17.98             |
| For The King - Deluxe Edition                                                        | -74%       | $25.98           | $6.78              |
| THE COMPLETE SUPERHOT BUNDLE                                                         | -73%       | $74.97           | $20.60             |
| Grand Theft Auto V: Premium Edition & Whale Shark Card Bundle                        | -73%       | $89.97           | $24.74             |
| Redout - Ultimate Edition                                                            | -72%       | $49.92           | $13.75             |
| Kerbal Space Program Complete Edition                                                | -71%       | $69.97           | $19.98             |
| I Am Fish                                                                            | -70%       | $19.99           | $5.99              |
| Warhammer: Vermintide 2 - Starter Bundle                                             | -70%       | $55.96           | $17.06             |
| Space Crew: Legendary Edition                                                        | -70%       | $24.99           | $7.49              |
| The Ascent                                                                           | -70%       | $29.99           | $8.99              |
| Human: Fall Flat                                                                     | -70%       | $19.99           | $5.99              |
| SUPERHOT                                                                             | -70%       | $24.99           | $7.49              |
| Just Die Already                                                                     | -70%       | $14.99           | $4.49              |
| Need for Speed™ Unbound                                                              | -70%       | $69.99           | $20.99             |
| Road Redemption                                                                      | -70%       | $19.99           | $5.99              |
| Othercide                                                                            | -70%       | $29.99           | $8.99              |
| Train Sim World® 3                                                                   | -70%       | $39.99           | $11.99             |
| Maneater Apex Edition                                                                | -69%       | $54.98           | $17.31             |
| RPG Maker MV x MZ Bundle                                                             | -69%       | $159.98          | $50.38             |
| Warhammer: Vermintide 2 - Content Bundle                                             | -69%       | $143.86          | $44.70             |
| My Time at Portia Digital Deluxe Edition                                             | -68%       | $50.94           | $16.30             |
| LEGO® Star Wars™: The Skywalker Saga                                                 | -67%       | $49.99           | $16.49             |
| Archmage Rises                                                                       | -67%       | $29.99           | $9.89              |
| LEGO® Star Wars™: The Skywalker Saga Galactic Edition                                | -67%       | $69.99           | $23.09             |
| PGA TOUR 2K23                                                                        | -67%       | $59.99           | $19.79             |
| Turnip Boy Commits Tax Evasion                                                       | -66%       | $14.99           | $5.09              |
| Lawn Mowing Simulator                                                                | -66%       | $19.99           | $6.79              |
| Maneater: Truth Quest                                                                | -65%       | $14.99           | $5.24              |
| Necromunda: Hired Gun                                                                | -65%       | $39.99           | $13.99             |
| Bassmaster® Fishing                                                                  | -65%       | $24.99           | $8.74              |
| Maneater                                                                             | -65%       | $39.99           | $13.99             |
| Lawn Mowing Simulator: Landmark Edition                                              | -65%       | $29.97           | $10.59             |
| Grand Theft Auto V                                                                   | -63%       | $39.98           | $14.99             |
| Grand Theft Auto V: Premium Edition                                                  | -63%       | $39.98           | $14.99             |
